fname,lname,dept,ext,email
Maya,Name,IT,3234,maya_name@adnor.com
Gil,Flangeworm,HR,1234,gil_flangeworm@abnor.com
Gwen,Millalfrog,HR,1353,gwen_millalfrog@abnor.com
Wil,Manglefrog,Sales,2234,wil_manglefrogl@abnor.com
Greg,Alliflowmn,Sales,2846,greg_alliflowmn@abnor.com
Megan,Wolfgrill,!T,3956,megan_wolfgrill@abnor.com
Agnew ,Flomgrill,!T,3956,agnew_flomgrill@abnor.com
Allen,Friggmowl,Sales,2345,allen_friggmowl@abnor.com
Elma,Flinggrowl,HR,1486,elma_flinggrowl@adnor.com
Elgar,Glimflown,Sales,2086,elgar_glimflown.abnor.com
